radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,302,220,45000,230276073,,-79.4873194349,44.0344196697,1356,1467,1,1384368798,1417384709,
UMTS,302,220,45000,230293257,,-79.4873899381,44.034995839,1316,1636,1,1384371623,1417321617,
UMTS,302,220,45000,230282384,,-79.4862685069,44.0345739958,1302,1308,1,1384379025,1417027987,
UMTS,302,220,45000,230269989,,-79.489627191,44.0343002964,1666,531,1,1384379913,1417387699,
UMTS,302,220,45000,230293296,,-79.4874119057,44.0329635036,2963,473,1,1384380035,1417385606,
UMTS,302,220,45000,230276011,,-79.4884966673,44.032811235,2523,254,1,1384381084,1417387101,
UMTS,302,220,45000,230293149,,-79.4879134817,44.0354417371,2881,1721,1,1384381085,1417321617,
UMTS,302,220,45000,230293188,,-79.488611126,44.0329793391,3312,381,1,1384381454,1417387101,
UMTS,302,220,45000,230279989,,-79.4865302948,44.0348918601,1533,2070,1,1384381454,1417387101,
UMTS,302,220,45000,230281287,,-79.4879185712,44.0333950702,4338,392,1,1384381684,1417382915,
UMTS,302,220,45000,230283876,,-79.4844637055,44.0333505541,2642,403,1,1384384167,1417321617,
UMTS,302,220,45000,230271287,,-79.4869464378,44.0317421022,3065,90,1,1384385027,1417387101,
UMTS,302,220,45000,230293148,,-79.4652340819,44.0376514111,2802,491,1,1384391717,1416872966,
UMTS,302,220,45000,230293203,,-79.4747112909,44.0206556364,2787,33,1,1384391719,1416611927,
UMTS,302,220,45000,230283027,,-79.472788916,44.020812955,2023,200,1,1384391721,1416611628,
UMTS,302,220,45000,230271143,,-79.4643398,44.0195015,413,18,1,1384391723,1408453599,
UMTS,302,220,45000,230280889,,-79.471796304,44.01679992,2496,25,1,1384391724,1415481762,
UMTS,302,220,45000,230281930,,-79.4630089,44.018203,414,49,1,1384391727,1408453599,
UMTS,302,220,45000,230293496,,-79.4660886,44.017538,1439,40,1,1384391729,1408453599,
UMTS,302,220,45000,230293184,,-79.4814669667,44.0267940667,2118,3,1,1384391730,1413845267,
UMTS,302,220,45000,230276091,,-79.4625366,44.0155259,444,60,1,1384391730,1408453599,
UMTS,302,220,45000,230269988,,-79.4663500667,44.025099,1373,3,1,1384391733,1412898723,
UMTS,302,220,45000,230272112,,-79.4614711667,44.0236345667,5202,3,1,1388797904,1416269257,
UMTS,302,220,45000,230276062,,-79.4441045,44.0050878,84,5,1,1388798357,1408453608,
UMTS,302,220,45000,230276065,,-79.4564874,44.0013719,959,147,1,1388798357,1408453608,
UMTS,302,220,45000,230288187,,-79.4616698423,44.0015754269,799,52,1,1388798752,1414079428,
UMTS,302,220,45000,230288189,,-79.4667122,43.9999386,48,8,1,1388798775,1408453608,
UMTS,302,220,45000,230283028,,-79.4686290629,44.0042384343,507,70,1,1388798828,1409699074,
UMTS,302,610,45000,230269989,,-79.4908214,44.0335974,49,101,1,1390058077,1408453608,
UMTS,302,610,45000,230282384,,-79.4842221628,44.034280907,1209,129,1,1391966798,1417321617,
UMTS,302,610,45000,230293257,,-79.4907174101,44.0337884446,1365,552,1,1391968857,1417382317,
UMTS,302,610,45000,230279989,,-79.49081235,44.0336210378,39,74,1,1391968857,1417382317,
UMTS,302,610,45000,230293149,,-79.4891529607,44.0353214685,849,219,1,1391968857,1417385606,
UMTS,302,610,45000,230283876,,-79.4893004,44.0332057,825,79,1,1391968857,1408453618,
UMTS,302,610,45000,230281287,,-79.4908057873,44.0336610148,64,142,1,1391972763,1417321617,
UMTS,302,610,45000,230276011,,-79.4897322298,44.0332660231,747,104,1,1391980872,1417321617,
UMTS,302,610,45000,230276073,,-79.4883716703,44.0319181868,499,91,1,1392329227,1417322514,
UMTS,302,610,45000,230293256,,-79.4733304,44.0344385,144,29,1,1392330835,1408453618,
UMTS,302,610,45000,230293296,,-79.4907826154,44.0336175692,17,13,1,1392330835,1417321617,
UMTS,302,610,45000,230293148,,-79.4746549,44.0349552,212,47,1,1392330835,1408453618,
UMTS,302,610,45000,230279988,,-79.4726865,44.0350975,29,6,1,1392330835,1408453618,
UMTS,302,610,45000,230279990,,-79.4776458,44.0402179,230,38,1,1392330835,1408453618,
UMTS,302,610,45000,230293188,,-79.490627,44.03369375,24,4,1,1392330836,1417321617,
GSM,302,720,4800,38659,,-79.5491978,44.0013778,2168,106,1,1394990895,1408453644,
GSM,302,720,4800,64311,,-79.5521796,44.0009259,1683,64,1,1394990895,1408453644,
GSM,302,720,4800,25573,,-79.5727393,44.0020087,330,9,1,1394990895,1408453644,
GSM,302,720,4800,25571,,-79.5452103,44.0029037,3358,327,1,1394990895,1408453644,
GSM,302,720,4800,64312,,-79.5597246,44.0002336,2054,202,1,1394990895,1408453644,
GSM,302,720,4800,25577,,-79.5559906,44.000645,1984,175,1,1394990895,1408453644,
GSM,302,720,5300,33802,,-79.5728073,44.0022685,276,25,1,1394990896,1408453644,
GSM,302,720,4800,38479,,-79.5385811,44.0042584,2878,123,1,1394990896,1408453644,
GSM,302,720,4800,38462,,-79.5653545,44.0004756,1229,18,1,1394990896,1408453644,
GSM,302,720,4800,25572,,-79.5543722,43.9997825,1690,61,1,1394990897,1408453644,
GSM,302,720,4800,38478,,-79.5481596,44.0011751,1681,21,1,1394990897,1408453644,
GSM,302,720,4800,23342,,-79.5358069,44.0040494,2134,129,1,1394990898,1408453644,
GSM,302,720,4800,26729,,-79.5264134,44.0061644,307,27,1,1394990902,1408453644,
GSM,302,720,4800,26723,,-79.5214574,44.0073403,1451,118,1,1394990902,1408453644,
GSM,302,720,5300,25681,,-79.5345341,44.0042699,258,19,1,1394990902,1408453644,
GSM,302,720,4800,25503,,-79.5130264,44.0093066,556,53,1,1394990902,1408453644,
GSM,302,720,4800,38477,,-79.5131543,44.0092779,568,54,1,1394990902,1408453644,
GSM,302,720,4800,23462,,-79.5128239,44.009357,779,46,1,1394990902,1408453644,
GSM,302,720,4800,29143,,-79.5083668,44.010362,151,15,1,1394990904,1408453644,
UMTS,302,490,16010,854509,210,-79.498771,44.012466,0,1,1,1394990904,1408453644,
UMTS,302,490,16010,854591,210,-79.4841782364,44.0205846945,2190,110,1,1394990904,1414943257,
UMTS,302,490,16010,854571,210,-79.481099,44.015969,43,5,1,1394990952,1408453644,
UMTS,302,490,16010,854569,122,-79.4744175389,44.0190709905,1136,95,1,1394990952,1414862475,
UMTS,302,490,16010,854751,186,-79.4732269057,44.0226829343,2801,70,1,1394991026,1414862224,
UMTS,302,220,45000,230276072,153,-79.4696893105,44.0370574735,1411,162,1,1397214625,1416008816,
UMTS,302,220,45000,230276071,152,-79.4636548901,44.0447033121,1303,91,1,1397214628,1417151180,
UMTS,302,610,45008,231078403,507,-79.4176092,44.1107719,172,15,1,1398573722,1408453670,
UMTS,302,610,45008,231077871,507,-79.4159141,44.1042933,1020,71,1,1398573722,1408453670,
UMTS,302,610,45008,231077845,507,-79.4140384,44.0970658,447,16,1,1398573729,1408453670,
UMTS,302,610,45000,231078113,62,-79.418095,44.0678972,2771,95,1,1398573733,1408453670,
UMTS,302,610,45000,230276115,62,-79.4124897,44.0905895,151,17,1,1398573733,1408453670,
UMTS,302,610,45008,231078113,508,-79.4221084,44.0834713,1581,134,1,1398573734,1408453670,
LTE,302,610,55008,139200515,,-79.41360317,44.0403543775,1241,80,1,1398573736,1414944828,
LTE,302,610,55008,138427394,,-79.4169160913,44.0516074783,1121,46,1,1398573736,1414944828,
LTE,302,610,55008,139200514,,-79.4099312905,44.0281774143,550,42,1,1398573736,1414945051,
LTE,302,610,55008,138483457,,-79.4086483422,44.0218773855,5414,83,1,1398573736,1414944828,
LTE,302,610,55008,138483458,,-79.4058871393,44.0102041071,763,28,1,1398573736,1414945051,
UMTS,302,220,45000,230293147,152,-79.4606890104,44.0412359573,2701,482,1,1400192883,1415663245,
UMTS,302,220,45000,230282385,158,-79.4802903721,44.0438154714,1073,280,1,1400608470,1414856984,
UMTS,302,220,45000,230288153,484,-79.4933378129,44.0580032774,1519,31,1,1400962562,1416782339,
UMTS,302,220,45000,230293311,355,-79.4645010361,44.0103494759,3394,83,1,1401070023,1416948449,
UMTS,302,220,45000,230293153,354,-79.4612270317,43.9894639933,5466,60,1,1401188958,1415485542,
UMTS,302,220,45000,230282382,152,-79.4588925721,44.0454694402,1526,122,1,1401231045,1415901470,
UMTS,302,220,45000,230282545,354,-79.4709636528,44.0018275,3893,72,1,1401306571,1415485542,
UMTS,302,220,45000,230293199,485,-79.5013845924,44.0432474395,1659,157,1,1401306589,1417321618,
UMTS,302,220,45000,230278448,237,-79.4787658,44.0550336813,120,16,1,1401329017,1414460145,
UMTS,302,220,45000,230283023,155,-79.4538589853,44.0605715547,856,75,1,1401359191,1415319889,
UMTS,302,220,45000,1592568,66,-79.314344,44.0056845,557,28,1,1401650507,1408453719,
GSM,302,720,17000,29183,,-79.318115,44.0215685,20,2,1,1401652460,1408453719,
UMTS,302,610,45000,1592568,35,-79.3189631,44.0252774,373,20,1,1401652460,1408453719,
UMTS,302,220,45000,230278437,238,-79.4820757547,44.052432966,550,53,1,1401835242,1416958043,
UMTS,302,220,45000,230293281,156,-79.4568392667,44.054409,297,3,1,1402097771,1414266683,
UMTS,302,220,45000,230269987,152,-79.4607611372,44.0476036409,1494,137,1,1402438949,1417151180,
LTE,302,720,30085,8355074,0,-79.502005,44.04658,0,1,1,1402507680,1408453719,
UMTS,302,220,45000,230278251,56,-79.4899372,44.004367,0,2,1,1404660723,1408453746,
UMTS,302,490,16010,857349,218,-79.434446513,44.0740429565,381,23,1,1405176461,1414759075,
UMTS,302,220,45000,230279990,158,-79.4804403135,44.0443984537,1508,421,1,1409251193,1416958043,
UMTS,302,220,45000,230279987,152,-79.4619830809,44.0470589682,1527,346,1,1409251198,1415717577,
UMTS,302,220,45000,230276760,85,-79.4533203,44.0549599,233,10,1,1409251202,1409251393,
UMTS,302,220,45000,230282846,85,-79.4483874,44.0582042857,3576,35,1,1409251203,1415414049,
UMTS,302,220,45000,230283024,85,-79.4591114643,44.0560851071,558,28,1,1409251203,1415320105,
UMTS,302,220,45000,230288293,163,-79.45365525,44.06530287,874,100,1,1409251203,1415319889,
UMTS,302,220,45000,231065007,163,-79.4508646,44.0705116,75,5,1,1409251204,1409251338,
UMTS,302,220,45008,230288293,481,-79.4508442,44.0704988,120,5,1,1409251204,1409251338,
UMTS,302,220,45008,231065007,481,-79.4394385455,44.0697216364,970,11,1,1409251204,1415414078,
UMTS,302,220,45000,231065004,163,-79.4398501429,44.0589965714,3184,7,1,1409251205,1414723482,
UMTS,302,220,45000,230272058,163,-79.450516,44.071129,0,1,1,1409251205,1409251338,
UMTS,302,220,45008,230282058,481,-79.450516,44.071129,0,1,1,1409251205,1409251338,
UMTS,302,220,45000,230282058,163,-79.4504727284,44.0658212099,597,81,1,1409251205,1409251393,
UMTS,302,220,45008,231065004,481,-79.4466849,44.0562386,3301,10,1,1409251205,1414723482,
UMTS,302,220,45000,230280885,155,-79.4566476797,44.0599464062,905,128,1,1409251205,1415320105,
UMTS,302,220,45000,230270885,155,-79.45909725,44.05463225,3456,108,1,1409251205,1415319888,
UMTS,302,220,45000,230276075,155,-79.4589173333,44.059717,594,9,1,1409251205,1414458650,
UMTS,302,220,45000,230269990,158,-79.4820893059,44.046133895,2860,219,1,1409251206,1414856842,
UMTS,302,220,45000,230276074,158,-79.4817200909,44.0487879394,2597,66,1,1409251209,1416431621,
UMTS,302,220,45000,230293258,158,-79.4799836439,44.0457250356,2949,337,1,1409270806,1416624342,
