radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,302,220,65534,138716676,,-79.437658,43.7203993,6,8,1,1378273209,1408453593,
UMTS,302,220,65534,138776579,,-79.394089,43.6473808,2,3,1,1378232601,1408453593,
UMTS,302,720,65534,7837697,,-79.6587945,43.7067044,1616,2,1,1379375678,1408453593,
UMTS,302,720,65534,8739075,,-79.6867737,43.7543347,0,1,1,1379874882,1408453593,
UMTS,302,220,10500,230134412,,-79.401078875,43.64962965,179,12,1,1383177375,1415688866,
UMTS,302,220,10500,230134417,,-79.3990057333,43.64738845,204,6,1,1383177375,1414597298,
UMTS,302,220,10500,230140058,,-79.403208,43.6501218,21,5,1,1383177375,1408453599,
UMTS,302,220,10500,230140060,,-79.4071703583,43.6537999833,843,12,1,1383054921,1415688872,
UMTS,302,220,10500,230140776,,-79.4028841667,43.6496760333,103,6,1,1383177375,1415688872,
UMTS,302,220,10500,230145799,,-79.406226,43.6543617,133,17,1,1383054921,1408453599,
UMTS,302,220,10500,230145805,,-79.4078049,43.6539443,25,6,1,1383253864,1408453599,
UMTS,302,220,10500,230145808,,-79.4074642,43.6538312,220,27,1,1383054921,1408453599,
UMTS,302,220,10500,230146139,,-79.4049814,43.6509232,161,10,1,1383177375,1408453599,
UMTS,302,220,10500,230146348,,-79.40178955,43.651738325,242,4,1,1383177375,1415688872,
UMTS,302,220,10500,230148743,,-79.36869,43.6657586,306,21,1,1382984274,1408453599,
UMTS,302,220,10500,230149132,,-79.3950383625,43.6479870461,892,304,1,1383054921,1416007300,
UMTS,302,220,10500,230150722,,-79.4009020606,43.6549872818,710,66,1,1383054921,1416007321,
UMTS,302,220,10500,230150776,,-79.401772725,43.6516682875,231,16,1,1383177375,1415688866,
UMTS,302,220,10500,230151486,,-79.3949612,43.6471157,70,7,1,1383054921,1408453599,
UMTS,302,220,10500,230151487,,-79.3955457,43.6465725,171,13,1,1383225418,1408453599,
UMTS,302,220,10500,230152102,,-79.4071047,43.6525428,37,2,1,1383690442,1408453599,
UMTS,302,220,10500,230157010,,-79.4019052,43.6546299,0,1,1,1383253820,1408453599,
UMTS,302,220,10500,230157057,,-79.4027214,43.6497387,37,2,1,1383177375,1408453599,
UMTS,302,220,10500,230158934,,-79.4015111,43.6495095,98,5,1,1383177375,1408453599,
UMTS,302,220,10500,230158936,,-79.40023955,43.648045475,188,12,1,1383177375,1415688866,
UMTS,302,220,10500,230158937,,-79.4019753,43.6495242,43,9,1,1383177375,1408453599,
UMTS,302,220,10500,230158939,,-79.4009706,43.648825,34,6,1,1383177375,1408453599,
UMTS,302,220,10500,230159729,,-79.3681625,43.6643365,0,1,1,1383062640,1408453599,
UMTS,302,220,10500,230159877,,-79.367884,43.6643417,0,1,1,1382984274,1408453599,
UMTS,302,220,10500,231460067,,-79.4432642,43.7138745,354,5,1,1381876055,1408453599,
UMTS,302,220,10501,231646488,,-79.445962,43.7200379,9059,357,1,1381931376,1408453599,
UMTS,302,220,10501,231648501,,-79.4322548,43.7133561,992,27,1,1381876055,1408453599,
UMTS,302,220,10501,231656395,,-79.3832644,43.7478742,0,1,1,1382803969,1408453599,
UMTS,302,220,10501,231657966,,-79.4405311,43.7641725,133,21,1,1382213198,1408453599,
UMTS,302,490,10,662821,,-79.384422,43.6995568,0,1,1,1377871289,1408453599,
UMTS,302,490,11,655521,,-79.4043333,43.6677484,167,24,1,1383840488,1408453599,
UMTS,302,490,11,655523,,-79.4034416,43.6659558,31,4,1,1383840515,1408453599,
UMTS,302,490,11,655526,,-79.4019099,43.6624527,53,6,1,1383840605,1408453599,
UMTS,302,490,11,655573,,-79.4077501,43.6742015,598,91,1,1383840283,1408453599,
UMTS,302,490,11,658172,,-79.4353334,43.6998685,315,27,1,1383839539,1408453599,
UMTS,302,490,11,658311,,-79.4224065,43.7012959,498,40,1,1383839725,1408453599,
UMTS,302,490,11,658312,,-79.4158864,43.6964062,298,44,1,1383839813,1408453599,
UMTS,302,490,11,661462,,-79.418173,43.7011375,219,31,1,1383839751,1408453599,
UMTS,302,490,11,662242,,-79.4290679,43.7002176,198,29,1,1383839649,1408453599,
UMTS,302,490,11,662573,,-79.4146709,43.6934611,14,3,1,1383839855,1408453599,
UMTS,302,490,11,662581,,-79.413493,43.6905568,393,29,1,1383839904,1408453599,
UMTS,302,490,11,662582,,-79.4098502,43.6813369,659,54,1,1383840084,1408453599,
UMTS,302,490,11,662753,,-79.4073356,43.6753961,49,8,1,1383840376,1408453599,
UMTS,302,490,10200,655391,,-79.4066145,43.6475585,1269,270,1,1383172353,1408453599,
UMTS,302,490,10200,655392,,-79.4019063087,43.6396696367,6802,991,1,1383052265,1417226454,
UMTS,302,490,10200,655393,,-79.4330745647,43.636016976,5652,1012,1,1383138643,1414589524,
UMTS,302,490,10200,655394,,-79.3988168512,43.6443956589,1194,414,1,1383172084,1417226233,
UMTS,302,490,10200,655411,,-79.3882700981,43.6461308834,449,157,1,1382991997,1414505202,
UMTS,302,490,10200,655412,,-79.3890495281,43.6428182823,906,576,1,1383138752,1408453599,
UMTS,302,490,10200,655413,,-79.3912565984,43.6459567772,1613,1463,1,1382991517,1417226233,
UMTS,302,490,10200,655415,,-79.3884283488,43.6421757752,815,129,1,1383168452,1409746318,
UMTS,302,490,10200,655422,,-79.3983783008,43.6469913519,1127,129,1,1377640238,1415024888,
UMTS,302,490,10200,655425,,-79.3985092833,43.6505799833,563,12,1,1383328460,1414602603,
UMTS,302,490,10200,655443,,-79.378462122,43.6433021228,821,127,1,1383052414,1417472320,
UMTS,302,490,10200,655446,,-79.3801464,43.6423073,563,18,1,1383921274,1408453599,
UMTS,302,490,10200,655453,,-79.387684,43.6529146,325,76,1,1383151000,1408453599,
UMTS,302,490,10200,659543,,-79.3845473,43.6485022,386,8,1,1383760996,1408453599,
UMTS,302,490,10200,659546,,-79.3816838,43.6487203,405,11,1,1383150680,1408453599,
UMTS,302,490,10200,659572,,-79.3708443,43.6485482,979,4,1,1383052714,1417226233,
UMTS,302,490,10200,659591,,-79.3826826466,43.645754681,775,232,1,1382991997,1417226454,
UMTS,302,490,10200,659592,,-79.3845645881,43.6444347297,708,946,1,1382991997,1417472320,
UMTS,302,490,10200,659593,,-79.3865945908,43.6451562986,545,369,1,1382991997,1417226454,
UMTS,302,490,10200,659595,,-79.3844953308,43.6434413654,1759,78,1,1383921274,1409746215,
UMTS,302,490,10200,659641,,-79.395527529,43.6482120445,1237,535,1,1377640314,1415920906,
UMTS,302,490,10200,659642,,-79.3930999925,43.6469911748,547,943,1,1383152732,1415936156,
UMTS,302,490,10200,659643,,-79.3951644434,43.6412339176,1246,507,1,1383052265,1417226233,
UMTS,302,490,10200,659644,,-79.3958574833,43.6484323487,444,78,1,1383328460,1415920906,
UMTS,302,490,10200,659662,,-79.3939866897,43.6536947538,247,39,1,1383429939,1415284605,
UMTS,302,490,10200,659663,,-79.3967691962,43.6502822339,547,186,1,1382994880,1414602603,
UMTS,302,490,10200,659681,,-79.3874743614,43.6504101458,824,153,1,1383150680,1415936156,
UMTS,302,490,10200,659683,,-79.3888595563,43.6468857893,815,503,1,1383150680,1415936232,
UMTS,302,490,10200,659685,,-79.3857283214,43.6476824429,307,28,1,1383150680,1415936156,
UMTS,302,490,10200,662701,,-79.4015493548,43.6600876452,503,31,1,1383840605,1415238856,
UMTS,302,490,10200,662822,,-79.3857276,43.6899448,4732,40,1,1375874640,1408453599,
UMTS,302,490,10200,662852,,-79.3898818195,43.6486861205,471,167,1,1382991997,1415936156,
UMTS,302,490,10200,662853,,-79.3937486667,43.6524406537,1415,123,1,1383430047,1415284723,
UMTS,302,490,10200,663061,,-79.3998624202,43.6371930988,1073,1249,1,1383430914,1417472294,
UMTS,302,490,10200,663066,,-79.4541877091,43.632563132,4343,428,1,1383506728,1408453599,
UMTS,302,490,10200,664371,,-79.3888155,43.646356,266,47,1,1383328661,1408453599,
UMTS,302,490,10600,655393,,-79.4061286689,43.6409653485,1513,299,1,1383660654,1417036658,
UMTS,302,490,10600,655412,,-79.3905614,43.6423569,476,100,1,1383921206,1408453599,
UMTS,302,490,10600,655602,,-79.4177335279,43.636780785,6091,2567,1,1383052006,1417401226,
UMTS,302,490,10600,655603,,-79.4247353732,43.6348611349,3829,1483,1,1383051986,1417472294,
UMTS,302,490,10600,655605,,-79.4071260522,43.6382480155,2089,735,1,1383834511,1417401155,
UMTS,302,490,10600,657932,,-79.4755958868,43.6302395475,62783,2618,1,1383051799,1417472294,
UMTS,302,490,10600,657933,,-79.4936167706,43.6246877538,61238,394,1,1383255227,1417472294,
UMTS,302,490,10600,658083,,-79.4591740584,43.6537746916,3499,154,1,1383834379,1416720469,
UMTS,302,490,10600,659652,,-79.4383932428,43.6361059162,1601,937,1,1383051965,1417472294,
UMTS,302,490,10600,659653,,-79.4554331445,43.6372562723,64531,4394,1,1382992893,1417472294,
UMTS,302,490,10600,659655,,-79.4393604856,43.6350982201,813,278,1,1383834450,1417401155,
UMTS,302,490,10600,659656,,-79.4587587356,43.6368782346,2696,1057,1,1383920839,1417401226,
UMTS,302,490,10600,660381,,-79.4092380056,43.6450521836,1529,354,1,1383172964,1416581640,
UMTS,302,490,10600,660382,,-79.4174058395,43.6402833269,2777,517,1,1383172964,1408453599,
UMTS,302,490,10600,660385,,-79.4142667,43.6372401,107,5,1,1383834544,1408453599,
UMTS,302,490,10600,662802,,-79.5406752432,43.6250748827,57539,709,1,1383950127,1416720469,
UMTS,302,490,10600,723019,,-79.4875095,43.6235558,133,13,1,1383138210,1408453599,
UMTS,302,490,10600,727808,,-79.4820339311,43.6271246292,2143,161,1,1383660206,1408453599,
UMTS,302,490,10600,727809,,-79.4822196278,43.6272363461,2509,115,1,1384296404,1408453599,
UMTS,302,490,16010,722438,,-79.5497014,43.780262,0,1,1,1383837664,1408453599,
UMTS,302,490,16060,722837,,-79.565435497,43.5974314952,10383,1822,1,1383940602,1417472294,
UMTS,302,490,16060,722867,,-79.5397424355,43.5924362979,9978,1093,1,1382993277,1414503707,
UMTS,302,490,16060,723147,,-79.5219337,43.6186685,719,44,1,1383940764,1408453599,
UMTS,302,490,16060,723148,,-79.5027231,43.6225835,859,10,1,1383940826,1408453599,
UMTS,302,490,16060,723150,,-79.5310888,43.6168795,15,2,1,1383940764,1408453599,
